书名,作者,译者,出版单位,出版时间,定价,豆瓣评分,评价人数,短评
红楼梦,[清] 曹雪芹 著 ,, 人民文学出版社 , 1996-12 , 59.70元,9.6,303677人评价,都云作者痴，谁解其中味？
活着,余华 ,, 作家出版社 , 2012-8-1 , 20.00元,9.4,529356人评价,生的苦难与伟大
1984,[英] 乔治·奥威尔 , 刘绍铭 , 北京十月文艺出版社 , 2010-4-1 , 28.00,9.3,158607人评价,栗树荫下，我出卖你，你出卖我
百年孤独,[哥伦比亚] 加西亚·马尔克斯 , 范晔 , 南海出版公司 , 2011-6 , 39.50元,9.2,307347人评价,魔幻现实主义文学代表作
飘,[美国] 玛格丽特·米切尔 , 李美华 , 译林出版社 , 2000-9 , 40.00元,9.3,164483人评价,革命时期的爱情，随风而逝
三体全集,刘慈欣 ,, 重庆出版社 , 2012-1-1 , 168.00元,9.4,61406人评价,地球往事三部曲
三国演义（全二册）,[明] 罗贯中 ,, 人民文学出版社 , 1998-05 , 39.50元,9.3,127501人评价,是非成败转头空
房思琪的初恋乐园,林奕含 ,, 北京联合出版公司 , 2018-1 , 45.00元,9.2,209078人评价,向死而生的文学绝唱
白夜行,[日] 东野圭吾 , 刘姿君 , 南海出版公司 , 2013-1-1 , 39.50元,9.1,295759人评价,一宗离奇命案牵出跨度近20年步步惊心的故事
动物农场,[英] 乔治·奥威尔 , 荣如德 , 上海译文出版社 , 2007-3 , 10.00元,9.2,97882人评价,太阳底下并无新事
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 ,, 丁钟华 等 , 群众出版社 ,,9.3,95794人评价,名侦探的代名词
小王子,[法] 圣埃克苏佩里 , 马振聘 , 人民文学出版社 , 2003-8 , 22.00元,9.0,597508人评价,献给长成了大人的孩子们
天龙八部,金庸 ,, 生活.读书.新知三联书店 , 1994-5 , 96.0,9.1,105891人评价,有情皆孽，无人不冤
撒哈拉的故事,三毛 ,, 哈尔滨出版社 , 2003-8 , 15.80元,9.2,91041人评价,游荡的自由灵魂
安徒生童话故事集,（丹麦）安徒生 , 叶君健 , 人民文学出版社 , 1997-08 , 25.00元,9.2,93484人评价,为了争取未来的一代
哈利•波特,J.K.罗琳 (J.K.Rowling) , 苏农 , 人民文学出版社 , 2008-12-1 , 498.00元,9.7,29502人评价,从9¾站台开始的旅程
沉默的大多数,王小波 ,, 中国青年出版社 , 1997-10 , 27.00元,9.1,105975人评价,沉默是沉默者的通行证
冰与火之歌（卷一）,[美] 乔治·R. R. 马丁 , 谭光磊 , 重庆出版社 , 2005-5 , 68.00元,9.3,32652人评价,凛冬将至。无比宏大的世界观
杀死一只知更鸟,[美] 哈珀·李 , 高红梅 , 译林出版社 , 2012-9 , 32.00元,9.2,84169人评价,有一种东西不能遵循从众原则，那就是——人的良心
人类简史,[以色列] 尤瓦尔·赫拉利 , 林俊宏 , 中信出版社 , 2014-11 , CNY 68.00,9.1,138126人评价,跟着人类一同走过十万年
围城,钱锺书 ,, 人民文学出版社 , 1991-2 , 19.00,8.9,382830人评价,幽默的语言和对生活深刻的观察
平凡的世界（全三部）,路遥 ,, 人民文学出版社 , 2005-1 , 64.00元,9.0,260177人评价,中国当代城乡生活全景
局外人,[法] 阿尔贝·加缪 , 柳鸣九 , 上海译文出版社 , 2010-8 , 22.00元,9.0,139427人评价,人生在世，永远也不该演戏作假
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 , 杨玲 , 南海出版公司 , 2012-9-1 , 39.50元,9.0,193081人评价,义无反顾地直达爱情的核心
明朝那些事儿（1-9）,当年明月 ,, 中国海关出版社 , 2009-4 , 358.20元,9.1,95982人评价,不拘一格的历史书写
笑傲江湖（全四册）,金庸 ,, 生活·读书·新知三联书店 , 1994-5 , 76.80元,9.0,90940人评价,欲练此功，必先自宫
月亮和六便士,[英] 毛姆 , 傅惟慈 , 上海译文出版社 , 2006-8 , 15.00元,9.0,145532人评价,有多少人会经历顿悟，就有更少的人甘愿自我放逐
中国历代政治得失,钱穆 ,, 生活·读书·新知三联书店 , 2001 , 12.00元,9.2,45333人评价,一部简明的“中国政治制度史”
肖申克的救赎,[美] 斯蒂芬·金 , 施寄青 , 人民文学出版社 , 2006-7 , 29.90元,9.1,89089人评价,豆瓣电影Top1原著
基督山伯爵,大仲马 , 周克希 , 上海译文出版社 , 1991-12-1 , 43.90元,9.0,104127人评价,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
东方快车谋杀案,[英] 阿加莎·克里斯蒂 , 陈尧光 , 人民文学出版社 , 2006-5 , 18.00元,9.0,101464人评价,谋杀诡计惊人，波洛的抉择耐人寻味
追风筝的人,[美] 卡勒德·胡赛尼 , 李继宏 , 上海人民出版社 , 2006-5 , 29.00元,8.9,662862人评价,为你，千千万万遍
万历十五年,[美] 黄仁宇 ,, 生活·读书·新知三联书店 , 1997-5 , 18.00元,8.9,149222人评价,见微知著，历史观的颠覆
新名字的故事,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2017-4 , 59.00元,9.0,48670人评价,探索青年时代的激情、困惑、挣扎、背叛和失去
江城,[美] 彼得·海斯勒 , 李雪顺 , 上海译文出版社 , 2012-1 , 36.00元,9.1,39414人评价,外国人眼中的涪陵
失踪的孩子,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2018-7 , 62.00元,9.1,38868人评价,我的整个生命，只是一场为了提升社会地位的低俗斗争。
呐喊,鲁迅 ,, 人民文学出版社 , 1973年3月 , 0.36元,8.9,94518人评价,新文学的第一声呐喊
嫌疑人X的献身,[日] 东野圭吾 , 刘子倩 , 南海出版公司 , 2008-9 , 28.00,8.9,425371人评价,数学好是一种极致的浪漫
刀锋,[英]毛姆 , 周煦良 , 上海译文出版社 , 2007-3 , 18.00元,9.0,57787人评价,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
乡土中国,费孝通 ,, 上海人民出版社 , 2006-4 , 38.00,9.2,40428人评价,中国乡土社会传统文化和社会结构理论研究代表作
寻路中国,[美] 彼得·海斯勒 , 李雪顺 , 上海译文出版社 , 2011-1 , 33.00元,9.0,42797人评价,《纽约客》驻北京记者驾车漫游中国大陆的经历
射雕英雄传（全四册）,金庸 ,, 生活·读书·新知三联书店 , 1999-04 , 47.00元,9.0,66848人评价,侠之大者，为国为民
城南旧事,林海音 文 ,, 中国青年出版社 , 2003-7 , 16.00元,9.0,106775人评价,长亭外，古道边，芳草碧连天
我与地坛,史铁生 ,, 春风文艺出版社 , 2002-5 , 25.00元,9.1,63021人评价,这是你的罪孽与福祉
白鹿原,陈忠实 ,, 人民文学出版社 , 2012-9 , 39.00元,9.2,51854人评价,一轴关于我们民族灵魂的现实主义画卷
傲慢与偏见,[英] 奥斯丁 , 张玲 , 人民文学出版社 , 1993-7 , 13.00元,8.9,192247人评价,所有现代言情小说的母体
格林童话全集,[德国]格林兄弟 , 魏以新 , 人民文学出版社 , 1994-11 , 21.45元,9.0,72493人评价,一本有教育意义的书
黄金时代,王小波 ,, 花城出版社 , 1999-3 , 19.00元,8.9,128209人评价,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
无人生还,[英] 阿加莎・克里斯蒂 , 祁阿红 , 人民文学出版社 , 2008-3 , 19.00,8.9,103892人评价,童谣杀人案
文学回忆录,木心 口述 ,, 广西师范大学出版社 , 2013-1-10 , 98.00元,9.1,35223人评价,木心留给世界的礼物
历史深处的忧虑,林达 ,, 生活·读书·新知三联书店 , 1997-5 , 19.00元,9.0,37411人评价,窥见美国社会的一扇窗
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich) , 范景中 , 广西美术出版社 , 2008-04 , 280.00,9.6,16024人评价,从最早的洞窟绘画到当今的实验艺术
神雕侠侣,金庸 , 有1996年11月北平第4次印本 , 生活·读书·新知三联书店 , 1994-5 , 76.80元,8.9,82351人评价,至情至性，情大于武
悲惨世界（上中下）,[法] 雨果 , 李丹 , 人民文学出版社 , 1992-6 , 66.00元,9.0,51578人评价,现实主义与浪漫主义的至高杰作
史记（全十册）,司马迁 , （索隐）司马贞，（正义）张守节 , 中华书局 , 1982-11 , 125.00,9.5,17694人评价,史家之绝唱，无韵之离骚
许三观卖血记,余华 ,, 南海出版公司 , 1998-9 , 16.80元,8.8,197702人评价,以博大的温情描绘磨难中的人生
上帝掷骰子吗,曹天元 ,, 辽宁教育出版社 , 2006-1 , 32.00元,9.2,23968人评价,量子物理史话
卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基 , 荣如德 , 上海译文出版社 , 2006-8 , 25.00元,9.4,16045人评价,错综复杂的社会、家庭矛盾和人性悲剧
树上的男爵,[意] 伊塔洛·卡尔维诺 , 吴正仪 , 译林出版社 , 2012-4-1 , 30.00元,9.1,25728人评价,是不是真的只有先与人疏离，才能最终与他们在一起？
哭泣的骆驼,三毛 ,, 哈尔滨出版社 , 2003-6 , 15.80元,8.9,46170人评价,沙漠中寻常的生与死
看见,柴静 ,, 广西师范大学出版社 , 2013-1-1 , 39.80元,8.8,283370人评价,在这里看见中国
灿烂千阳,[美] 卡勒德·胡赛尼 , 李继宏 , 上海人民出版社 , 2007-9 , 28.00元,8.8,93593人评价,唯有希望与爱可以驱散阴霾
邓小平时代,[美] 傅高义 , 冯克利 , 生活·读书·新知三联书店 , 2013-1 , 88.00元,9.2,31770人评价,个人命运背后的历史变局
浪潮之巅,吴军 ,, 电子工业出版社 , 2011-8 , 55.00元,9.0,27246人评价,了解IT领域的入门读物
台北人,白先勇 ,, 广西师范大学出版社 , 2010-10 , 38.00元,8.9,38173人评价,白先勇短篇小说集
诗经,孔丘 编订 ,, 北京出版社 , 2006-7 , 19.90元,9.4,18723人评价,思无邪
人间词话,王国维 ,, 上海古籍出版社 , 1998-12-01 , 9.80元,9.0,41763人评价,以新眼光评旧文学
西游记（全二册）,吴承恩 , 黄肃秋 注释 , 人民文学出版社 , 2004-8 , 47.20元,8.9,61592人评价,神魔皆有人情，精魅亦通世故
永恒的终结,[美] 艾萨克·阿西莫夫 , 崔正男 , 江苏凤凰文艺出版社 , 2014-9-1 , 32.00元,9.0,25264人评价,关于时间旅行的终极奥秘和恢宏构想
窗边的小豆豆,[日] 黑柳彻子 著 , 赵玉皎 , 南海出版公司 , 2003-1 , 20.00元,8.7,164139人评价,真正懂孩子的教育经
悉达多,[德] 赫尔曼·黑塞 , 杨玉功 译 , 上海人民出版社 , 2009-3 , 20.00,9.0,27412人评价,在那最绝望的一刹那，他突然听到了生命之河永恒的声音……
爱你就像爱生命,王小波 ,, 上海锦绣文章出版社 , 2008-5 , 18.00元,8.8,87770人评价,王小波与李银河的两地书
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 , 宁蒙 , 四川文艺出版社 , 2015-12 , 35.00元,9.0,37403人评价,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
我们仨,杨绛 ,, 生活·读书·新知三联书店 , 2003-7 , 18.80元,8.7,247447人评价,家庭生活回忆录
最好的告别,[美] 阿图·葛文德（Atul Gawande） , 王一方 主编 , 浙江人民出版社 , 2015-7-31 , 54.90元,9.0,26987人评价,关于衰老与死亡，你必须知道的常识
巨人的陨落,[英] 肯·福莱特 , 于大卫 , 江苏凤凰文艺出版社 , 2016-5-1 , 129.80元,8.9,68409人评价,五个家族，一场战争
呼兰河传,萧红 ,, 百花文艺出版社 , 2005-01 , 19.00,8.9,57849人评价,萧红的童年往事
这些人，那些事,吴念真 ,, 译林出版社 , 2011-9 , 28.00元,8.8,57209人评价,平淡叙述下的惊心动魄
道德经,黄元吉 ,, 陕西人民出版社 , 1996-10 , 4.50元,9.4,13229人评价,中国历史上首部完整的哲学著作
朝花夕拾,鲁迅 ,, 人民文学出版社 , 1972年4月 , 0.25元,8.8,89568人评价,在纷扰中寻出一点闲静
海子的诗,海子 ,, 人民文学出版社 , 1999-04 , 15.40,8.9,34771人评价,
你当像鸟飞往你的山,[美] 塔拉·韦斯特弗 , 任爱红 , 南海出版公司 , 2019-10-20 , 59.00元,8.8,74604人评价,我来自一个极少有人能想象的家庭，教育给了我新世界
教父,[美]马里奥·普佐 , 周汉林 , 译林出版社 , 1997-8 , 23.30元,9.0,32688人评价,“教父三部曲”电影原著
唐诗三百首,蘅塘退士 ,, 中华书局 , 1998-1-1 , 0.65,9.4,15817人评价,熟读唐诗三百首，不会吟诗也会吟
飞鸟集,[印] 罗宾德拉纳德·泰戈尔 , 徐翰林 , 哈尔滨出版社 , 2004-6 , 16.80元,8.9,52340人评价,一个淡泊清透的世界
罗杰疑案,[英] 阿加莎·克里斯蒂 , 常禾 , 新星出版社 , 2013-3 , 28.00元,9.2,21108人评价,
看不见的城市,[意大利]伊塔洛·卡尔维诺 , 张宓 , 译林出版社 , 2006-8 , 16.00元,8.8,34636人评价,每一座城市都只在想象中耸立，又在描述中坍圮
斯通纳,[美] 约翰·威廉斯 , 杨向荣 , 上海人民出版社 , 2016-1 , 49.00元,8.8,35313人评价,即使不能拥有完美的生活，所幸追求过完整的自我
鼠疫,(法)阿尔贝·加缪 , 刘方 , 上海译文出版社 , 2013-8 , 34.00元,9.1,26900人评价,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
人生的枷锁,[英] 毛姆 , 张柏然 , 上海译文出版社 , 2007-3 , 32.00元,9.0,21205人评价,在混沌纷扰的生活漩流中，寻求人生的真谛
鹿鼎记（全五册）,金庸 ,, 广州出版社 花城出版社 , 2008-3 , 108.00元,8.8,46626人评价,武侠的解构，流氓的狂欢
边城,沈从文 ,, 北岳文艺出版社 , 2002-4 , 12.00元,8.7,184676人评价,一切充满了善，然而到处是不凑巧
梦里花落知多少,三毛 ,, 北京十月文艺出版社 , 2007-6 , 28.00元,8.8,78947人评价,哀而不伤
叫魂,[美] 孔飞力 , 陈兼 , 生活·读书·新知三联书店 上海三联书店 , 2012-5 , 38.00元,9.0,20641人评价,1768年中国妖术大恐慌
金色梦乡,[日] 伊坂幸太郎 , 李彦桦 , 译林出版社 , 2010-9 , 35.00元,9.0,19828人评价,伊坂幸太郎代表作
时间简史,[英] 史蒂芬·霍金 , 许明贤 , 湖南科学技术出版社 , 2010-4 , 45.00元,8.8,48428人评价,探索时间和空间的核心秘密
王尔德童话,[英] 王尔德 , 王林 , 译林出版社 , 2003-6 , 6.00元,9.1,16884人评价,一颗纯美纯善、永难泯灭的童心
冬牧场,李娟 ,, 新星出版社 , 2012-6 , 29.80元,9.0,18865人评价,阿勒泰的精灵
陆犯焉识,严歌苓 ,, 作家出版社 , 2011-10 , 35.00元,8.8,45692人评价,翻手为苍凉，覆手为繁华
美的历程,李泽厚 ,, 生活·读书·新知三联书店 , 2009-1-1 , 43.00元,9.2,17410人评价,中国美学经典之作
一个陌生女人的来信,[奥] 斯台芬·茨威格 , 张玉书 , 上海译文出版社 , 2007-7 , 20.00元,8.7,110786人评价,暗恋的极致
人生的智慧,[德] 阿图尔·叔本华 , 韦启昌 , 上海人民出版社 , 2008-10 , 28.00元,9.2,17862人评价,对世俗、实用问题深刻而透彻的讨论
野草,鲁迅 ,, 人民文学出版社 , 1973-3 , 0.20元,9.4,13361人评价,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
彷徨,鲁迅 ,, 人民文学出版社 , 1973年3月 , 0.37元,9.0,23967人评价,路漫漫其修远兮，吾将上下而求索
孽子,白先勇 ,, 广西师范大学出版社 , 2010.10 , 46.00元,9.1,17438人评价,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯 , 陈澄和 , 广西师范大学出版社 , 2015-4 , 36.00元,9.1,18842人评价,当声称能改造智能的科学实验选中心智障碍主角
