标题,时间,来源,正文,作者,评论数
陈一新：全国扫黑办挂牌督办案件已办结23起,2020-06-28,新浪新闻综合,原标题：陈一新：全国扫黑办挂牌督办案件已办结23起 来源：北京头条 6月28日上午，全国扫黑办召开新闻发布会，发布4起已办结的全国扫黑办挂牌督办案件。 中央政法委副秘书长、全国扫黑办副主任王洪祥介绍，这是全国扫黑办挂牌督办案件第2次新闻发布会，也是全国扫黑办举行的第5次新闻发布会，将发布发布安徽“刘氏兄弟”案、江西陈辉民案、四川饶拾元案、新疆兵团白波案等4起已经办结的全国扫黑办挂牌督办案件。 中央政法委秘书长、全国扫黑除恶专项斗争领导小组副组长、全国扫黑办主任陈一新介绍，目前，全国扫黑办挂牌督办的111起案件中，已办结23起，尚在侦查阶段25起、审查起诉阶段22起、审判阶段41起；46名目标逃犯已抓捕归案18名；抓捕犯罪嫌疑人8671人，查封、扣押、冻结涉案资产1088亿余元，立案查处涉黑涉恶腐败和“保护伞”3341人。,杨杰 ,0
ARJ21飞机正式入编国航、东航、南航机队,2020-06-28,新京报,原标题：ARJ21飞机正式入编国航、东航、南航机队 新京报快讯（记者 吴婷婷）今天（6月28日），国航、东航、南航在中国商用总装制造中心浦东基地接收首架有着“阿娇”昵称的ARJ21飞机。三架飞机同时交付标志着ARJ21飞机正式入编国际主流航空公司机队。 国航、东航、南航根据市场需求，结合自身机队规划和航线布局，进行了特色化的选型，并派出经验丰富的工程代表对飞机制造过程进行了严格的监造。此次交付给国航、东航、南航的三架ARJ21飞机均采用90座全经济舱布局。今年国航、东航、南航还将陆续各接收3架ARJ21飞机。 为了迎接“阿娇”入编，三大航此前已做好“功课”。2019年12月16日，国航飞行总队ARJ大队正式成立，从机队建设、转机型训练、人员储备、后勤保障等方面做准备。东航于今年2月26日成立一二三航空，其运营基地设在上海虹桥机场，以运营ARJ21、C919等国产商用飞机为主，推动国产商用飞机的规模化运营。南航从保障流程、人员资质、运行安全等多方面筹备，先后完成相关飞行员和乘务员转机型培训等准备工作。 公开资料显示，ARJ21支线客机是中国按照国际标准研制的具有自主知识产权的飞机。2015年11月29日，首架ARJ21支线客机飞抵成都，交付成都航空有限公司，正式进入市场运营。 新京报记者 吴婷婷,杨杰 ,0
"张建宗：""涉港国安法""是确保香港长期繁荣稳定的良方",2020-06-28,北京日报客户端,原标题：张建宗：“涉港国安法”是确保香港长期繁荣稳定的良方 今天，香港特区政府政务司司长张建宗表示，制定“涉港国安法”是巩固“一国两制”有效运作，确保香港长期繁荣稳定的良方，让香港重回正轨，重新出发。 张建宗在个人主页上，发布了题为“砥砺奋进23载，走正路创辉煌”的网络日志。文中他表示，回归以来香港曾经历过多次重大考验，但每次都能迅速复元，继续稳步发展，充分体现出“一国两制”得到全面和成功落实。 但是过去一年的一连串暴力事件，为香港带来前所未有的创伤。激进分子以“港独”、“自决”之名，公然挑战中央和特区政府，严重触碰“一国”原则的底线。加上香港维护国家安全的法律制度和执行机制有不足之处，香港成为了国家安全风险的缺口。 张建宗称，因此制定“涉港国安法”是巩固“一国两制”有效运作，确保香港长期繁荣稳定的良方，让香港重回正轨，重新出发。立法旨在防范、制止和惩治极少数危害国家安全的违法分子，保护绝大多数奉公守法的香港市民，保障他们生命财产以及依法享有的基本权利和自由。 香港作为国际城市及商业枢纽，社会安全和政治稳定是必要条件。“涉港国安法”立法将加强香港作为国际金融和商业中心的实力和经济竞争力，让香港更稳定、更安全、更有保障。 最后，张建宗再次呼吁青年人切不可行差踏错，走上歪路，否则将自毁前途。他表示，香港只要重新走上正确的路，发展空间将是无限大的。祖国始终是香港的坚强后盾，大家要全力支持国安立法，善用香港“一国两制”的优势，确保香港长治久安，再创辉煌。,杨杰 ,0
四川汶川山体高位崩塌预警及时无人伤亡,2020-06-28,央视,原标题：四川汶川山体高位崩塌预警及时无人伤亡 受连日降雨影响，四川汶川县灞州镇垮坡村一处山体发生高位崩塌，所幸未造成人员伤亡。几天前，当地地灾监测员余友俊在巡查中发现山体地质结构有变化，立即上报，灞州镇第一时间制定疏散措施，要求村上24小时轮班检测。看监测员手机记录下的崩塌画面↓,张迪 ,0
免费替您测新车车内空气质量！京津消协再发征集令,2020-06-28,北京日报客户端,原标题：免费替您测新车车内空气质量！京津消协再发征集令 北京市消费者协会、天津市消费者协会今天再次联合发布征集令，征集发票日期为2020年1月1日之后购置的汽车，免费对汽车车内空气质量进行检测。 6月初，京津消费者协会联合发布征集信息后，受到车主的广泛关注，截至6月27日，通过微信进行咨询的车主近500人次，符合条件的受检车辆正在持续检测过程中。考虑到疫情对车辆样本数量的影响，同时为确保此次比较试验的客观公正性，本次车内空气质量比较试验受检样车分批次进行征集。 6月28日，京津消协再次发布汽车征集信息，在专家建议下，按照车辆品牌销量及前期征集结果公开征集大众、奥迪、丰田、别克、本田、日产、福特、现代、雪佛兰、马自达、奔驰、宝马、三菱、吉利、长城、比亚迪、奇瑞、长安等品牌样车，欲参加此次免费检测活动的车主均可自愿报名参加。 被检车辆将熄火静置在实验室内二至三天，主要检测项目为：苯、甲苯、二甲苯、乙苯、苯乙烯、甲醛、乙醛、丙烯醛、总挥发性有机物（TVOC）、气味等。 据了解，此次活动是京津消协组织在2020年共同开展的比较试验项目之一，比较试验结束后，两地消协组织将统一对外发布试验结果，两地消协组织希望通过此次活动，对我国车内空气质量现状给出一个真实客观的描述，敦促汽车厂商更加重视车内空气质量问题，不断提高环保标准，改善车内空气质量。 此次车辆征集主要限定在京、津地区，主办方将补贴每位相关车主600元。车主报名方式为：添加微信号沟通报名，微信号为jingjinji315；发送报名信息至邮箱：jingjinji315@163.com。,杨杰 ,0
侮辱、诽谤英烈行为拟规定为犯罪,2020-06-28,新华视点,原标题：侮辱、诽谤英烈行为拟规定为犯罪 28日提请全国人大常委会会议审议的刑法修正案（十一）草案，将侮辱、诽谤英雄烈士的行为明确规定为犯罪。 草案规定，侮辱、诽谤英雄烈士，损害社会公共利益，情节严重的，处三年以下有期徒刑、拘役、管制或者剥夺政治权利。,张迪 ,21
北京地铁16号线丰台站主体结构封顶,2020-06-28,新浪新闻综合,原标题：北京地铁16号线丰台站主体结构封顶 来源：北京头条 6月28日，随着最后一方混凝土浇注完成，北京地铁16号线丰台站主体结构封顶。 据市重大项目办介绍，地铁16号线丰台站克服疫情影响，提前2天完成了车站主体结构封顶任务。丰台站主体结构封顶后将移交中国铁路北京局集团有限公司，为全力推进丰台火车站的建设奠定了基础，也为丰台火车站2021年度投入运营创造条件。 据市重大项目办相关负责人介绍说，地铁16号线丰台站位于国铁下方，与丰台火车站一体实施建设。丰台火车站将与地铁16号线、10号线和城市其他交通设施等相衔接，形成铁路、地铁及城市公交等多种出行方式为一体的综合交通枢纽，有利于综合解决北京南部地区交通拥堵问题，构筑城南地区的综合交通网络，也将成为“轨道上的京津冀”的重要节点，对促进北京南部地区发展，具有十分重要的意义。 地铁16号线丰台站总建筑面积4.6万平方米，设两个换乘厅，分别与丰台火车站及既有10号线实现换乘。车站长406米、宽31.2米、深30.7米，共设地下三层，地下三层为站台层，地下二层为站厅层，地下一层为国铁站房结构。 据建设管理单位京投所属北京城市快轨建设管理有限公司相关负责人介绍，北京地铁16号线是一条贯通南北的地铁骨干线，途经海淀、西城、丰台三个行政区。该线路北起北安河站，南至宛平站，线路全长约49.8公里，全部为地下线，共设车站30座，其中换乘车站12座，设北安河车辆段一座，榆树庄停车场一处。16号线北段（北安河-西苑）已于2016年底先期开通，16号线中段（西苑-甘家口）力争今年底达到初期运营条件。地铁16号线全线建成后，将有效缓解西北三环地区、丽泽商务区、丰台科技园区等重要城市功能区的交通压力，优化城市功能布局，促进区域发展建设，实现轨道交通既兼顾交通疏解又引导城市发展的功能。,杨杰 ,0
吉林工商学院党委书记王延吉接受审查调查,2020-06-28,中央纪委国家监委,原标题：吉林工商学院党委书记王延吉接受审查调查 据吉林省纪委监委消息：吉林工商学院党委书记王延吉涉嫌严重违纪违法，目前正接受纪律审查和监察调查。 王延吉简历 王延吉，男，1961年12月出生，汉族，吉林白城人，1982年8月参加工作，1984年6月加入中国共产党，研究生学历。 1996年2月，任共青团白城市委书记； 1999年2月，任洮南市委副书记； 2001年8月，任四平市委常委、秘书长； 2006年12月，任四平市副市长； 2010年4月，任四平市委常委、秘书长； 2011年6月，任通化市委常委、市纪委书记； 2016年1月，任吉林工商学院党委书记。 （吉林省纪委监委）,张迪 ,0
四川冕宁特大暴雨致3死12人失联 消防连夜搭救灾帐篷,2020-06-28,新京报,原标题：四川冕宁特大暴雨致3死12人失联，消防连夜搭救灾帐篷 新京报讯（记者 吴荣奎）6月27日，四川冕宁县遭遇特大暴雨，局部地区受灾严重。有地区发生垮塌，车辆掉落河中。截至27日11时，此次特大暴雨已致3人死亡12人失联。四川森林消防介绍，有安置点当晚突然下雨，消防员连夜冒雨搭设救灾帐篷。 视频显示，冕宁县遭遇特大暴雨，水深处与院墙平齐，有地区发生垮塌，车辆随垮塌掉落河中，还有房屋陷入淤泥中，大量农作物受损严重。 冕宁县政府新闻办公室通报称，26日18时至27日1时，冕宁县北部地区降暴雨到特大暴雨，导致高阳街道、彝海镇局部地区受灾严重。 据统计，截至27日11时，此次特大暴雨导致彝海镇大马乌村死亡1人、失联9人，高阳街道辖区内国道248冕宁高速路出口下方垮塌，过往的1辆轿车（乘坐2人）、1辆微型面包车（乘坐8人）随垮塌掉落河中，目前获救5人、死亡2人、失联3人，正在全力组织搜救失联人员。 截至27日23时，通过集中和分散两种方式已安置3030人。其中，集中安置点已发放帐篷408顶、棉被300床、棉衣200件。四川森林消防介绍，有安置点当晚突然下雨，消防员连夜冒雨搭设救灾帐篷。 凉山州委州政府已安排救灾资金50万元、冕宁县委县政府已安排救灾资金100万元用于抢险救灾工作。,杨杰 ,0
全国扫黑办挂牌督办的111起案件中 已办结23起,2020-06-28,新浪新闻综合,原标题：全国扫黑办挂牌督办的111起案件中，已办结23起 来源：中国之声 在今天召开的全国扫黑办挂牌督办案件第2次新闻发布会上，中央政法委秘书长、全国扫黑办主任陈一新介绍，全国扫黑办挂牌督办的111起案件中，已办结23起；46名目标逃犯已抓捕归案18名；抓捕犯罪嫌疑人8671人，查封、扣押、冻结资产1088亿余元，立案查处涉黑涉恶腐败和“保护伞”3341人。全国扫黑办要求对在办的88起挂牌案件紧盯不放，推动各地以挂牌案件为标杆，将每一起涉黑涉恶案件办成铁案，确保专项斗争圆满收官。（总台央广记者孙莹）,张迪 ,1
